,name,sub_type,management,ward_name,lga_name,state_name,geometry
9,Mid Town Secondary Community School,Adult Education,Public,Ikot Ekpene Urban,Ikot Ekpene,Akwa Ibom,POINT (7.723162000000059 5.17936700000007)
10,Mbo Vocational and Craft Center Enwang,Adult Education,Public,Enwang 1,Mbo,Akwa Ibom,POINT (8.256204000000025 4.66161500000004)
11,Akwa Ibom State University Ikot Akpaden,Adult Education,Public,Ikpa Ibom 3,Mkpat Enin,Akwa Ibom,POINT (7.763546151746724 4.621507846069868)
12,Social Dev Edu info Youth and Sport,Adult Education,Public,Mbiaso 1,Nsit Ibom,Akwa Ibom,POINT (7.889293000000066 4.857471000000032)
13,Norman Cummings Nursing Ikot Akan,Adult Education,Public,Itreto,Nsit Ubium,Akwa Ibom,POINT (7.903439999999999 4.77108)
14,Odu College,Adult Education,Public,Nung Atai Ube 1,Okobo,Akwa Ibom,POINT (8.162445000000048 4.859862000000021)
15,Mainland Technical College Oron,Adult Education,Public,Uko Uyikim,Oron,Akwa Ibom,POINT (8.236313000000052 4.806889000000069)
16,Adult Education Center Ikot Akpan Udo 1,Adult Education,Public,Abak Midim 4,Oruk Anam,Akwa Ibom,POINT (7.584922000000063 4.682922000000076)
17,Akwa Ibom State University Ata Obio Akpa,Adult Education,Public,Ndot Ikot Okoro 2,Oruk Anam,Akwa Ibom,POINT (7.76175 4.9654)
18,Social Dev Edu info sports culture,Adult Education,Public,Ward 2,Ukanafun,Akwa Ibom,POINT (7.538682000000051 4.857232000000067)
19,Government Technical College Ewet uyo,Adult Education,Public,Urban 3,Uyo,Akwa Ibom,POINT (7.940694000000065 5.027911000000074)
20,University,Adult Education,Public,Urban 2,Uyo,Akwa Ibom,POINT (7.924296856 5.043711662)
